entity_type,name,sport,season,country,region,logo_url,source_url
team,SL Benfica W,Football,2024,Portugal,Portugal,,https://www.fpf.pt
team,Sporting CP W,Football,2024,Portugal,Portugal,,https://www.fpf.pt
